unique,episode-name,season,length,rating,date,tone,recurring ,writers,cast,scream,gory,plot,background,action,funny,cry
OM310,Opening Night,3,39,8.3,2023,ironic,7,8,26,0,1,1,19,1,0,0
DS101,Cruelty,1,24,8.3,2019,somber,3,2,3,1,1,1,9,1,0,1
DS102,Trainer Sakonji Urokodaki,1,24,7.8,2019,inspirational,4,2,3,1,1,1,4,1,0,0
DS103,Sabito and Makomo,1,24,8.1,2019,inspirational,5,2,2,1,1,1,0,1,1,0
DS104,Final Selection,1,24,8.8,2019,serious,10,2,3,1,1,1,27,1,0,1
DS105,My Own Steel,1,24,8,2019,melancholic,13,2,3,1,1,0,5,0,1,1
DS106,Swordsman Accompanying a Demon,1,24,7.9,2019,serious,5,2,2,1,1,1,32,1,0,1
DS107,Muzan Kibusuji,1,24,8.6,2019,serious,9,2,2,1,1,1,51,1,0,1
DS108,The Smell of Enchanting Blood,1,24,8.3,2019,serious,6,2,2,1,1,1,0,1,0,1
DS109,Temari Demon And Arrow Demon,1,24,8.4,2019,serious,9,2,3,1,1,1,1,1,0,1
DS110,Together Forever,1,24,8.4,2019,somber,6,2,3,1,1,1,0,1,0,1
DS111,Tsuzumi Mansuin,1,24,7.3,2019,humor,6,2,3,1,1,1,4,1,1,1
DS112,"The Boar Bares Its Fangs, Zenitsu Sleeps",1,24,7.9,2019,serious,6,2,3,1,1,1,2,1,0,1
DS113,Something More Important Than Life,1,24,8.2,2019,serious,6,2,3,1,1,1,3,1,0,1
DS114,The House with the Wisteria Family Crest,1,24,7.6,2019,humor,8,2,4,1,1,1,4,1,1,0
DS115,Mount Natagumo,1,24,7.9,2019,serious,5,2,4,1,1,1,9,1,1,1
DS116,Leting Someone Else Go First,1,24,8.7,2019,serious,7,2,3,1,1,1,6,1,0,1
DS117,You Must Master a Single Thing,1,24,9,2019,melancholic,9,2,3,1,1,1,5,1,1,1
DS118,A Forged Bond,1,24,9,2019,serious,8,2,5,1,1,1,0,1,0,0
DS119,Hinokami,1,24,9.7,2019,serious,9,2,6,1,1,1,12,1,0,0
DS120,Preend Family,1,24,8.8,2019,serious,9,2,6,0,1,1,3,1,0,0
DS121,Against Corps Rules,1,24,8.6,2019,humor,7,2,4,1,1,1,8,0,0,0
DS122,Master of the Mansion,1,24,8.4,2019,humor,14,2,11,1,1,1,5,1,0,0
DS123,Hashira Meeting,1,24,7.8,2019,narrative,14,2,11,1,1,1,5,1,1,0
DS124,Rehabilitation Training,1,24,7.7,2019,narrative,5,2,5,1,1,1,9,0,1,0
DS125,"Tsuguko, Kanao Tsuyuri",1,24,7.8,2019,humor,9,2,5,1,1,0,23,0,1,0
DS126,New Mission,1,24,8.8,2019,narrative,11,2,4,0,1,1,8,1,1,0
DS201,Flame Hashira Kyojuro Rengoku,2,27,8.5,2022,humor,4,2,4,1,1,1,9,1,1,0
DS202,Deep Sleep,2,23,7.9,2022,humor,8,2,5,1,1,1,23,1,1,0
DS203,Should Have Been,2,25,8.1,2022,melancholic,9,2,5,0,1,1,3,0,1,0
DS204,Insult,2,24,8.3,2022,serious,6,2,5,1,1,1,9,1,0,0
DS205,Move Forward!,2,22,8.7,2022,serious,7,2,6,1,1,1,19,1,0,0
DS206,Akaza,2,24,9.4,2022,serious,7,2,3,1,1,1,1,1,0,1
DS207,Set Your Heart Ablaze,2,27,9.7,2022,serious,6,2,5,1,1,1,2,1,0,1
DS208,Sound Hashira Tengen Uzui,2,47,7.9,2022,humor,9,2,5,1,1,1,12,0,1,0
DS209,Infiltrating The Entertainment District,2,24,7.4,2022,humor,6,2,4,1,1,1,52,0,1,0
DS210,What Are You?,2,24,7.8,2022,serious,6,2,4,1,1,1,10,1,0,1
DS211,Tonight,2,24,8.2,2022,serious,7,2,3,1,1,1,7,1,0,0
DS212,Things Are Gonna Get Real Flashy!,2,24,8.7,2022,inspirational,8,2,4,1,1,1,10,1,0,0
DS213,Layered Memories,2,24,9.5,2022,melancholic,9,2,5,1,1,1,11,1,0,0
DS214,Transformation,2,24,9.4,2022,serious,5,2,4,1,1,1,3,1,0,0
DS215,Gathering,2,24,9.4,2022,serious,5,2,4,1,1,1,3,1,0,1
DS216,Defeating an Upper Rank Demon,2,24,9.6,2022,serious,8,2,3,1,1,1,4,1,0,1
DS217,Never Give Up,2,24,9.7,2022,serious,11,2,4,1,1,1,3,1,0,0
DS218,No Matter How Many Lives,2,33,8.8,2022,inspirational,10,2,6,1,1,1,5,0,0,1
